Item1,relation,Item2
香港岛,located in the administrative territorial entity,香港
危地马拉,diplomatic relation,以色列
卢旺达,member of,联合国
民国,diplomatic relation,格鲁吉亚
莱索托,member of,英联邦
智利,diplomatic relation,巴基斯坦
同治,instance of,年号
东北高加索语系,instance of,语系
游戏开发者,instance of,企业
荷兰,diplomatic relation,摩洛哥
罗伯特·欧文,sex or gender,男性
电池,has part,电解质
美利坚合众国,diplomatic relation,马达加斯加
印尼,diplomatic relation,印度
大西洋,has part,地中海
自然界,author,恩斯特·海克尔
乌拉圭,diplomatic relation,黎巴嫩
泗县,instance of,县
斯卡格拉克海峡,country,挪威
全截面弹性散射侦测器,instance of,实验
郑和群礁,country,越南
巴基斯坦,diplomatic relation,印度尼西亚
骨质疏松症,instance of,疾病
南美,has part,厄瓜多尔
赫尔辛基,instance of,城市
马斯特里赫特条约,language of work or name,法语
托斯卡纳,capital,佛罗伦萨
赛特,spouse,奈芙蒂斯
莱辛,work location,维滕贝格
阳甲,father,祖丁
澳,diplomatic relation,孟加拉国
0,instance of,整数
物件,studied by,物理学
欧洲联盟,contains administrative territorial entity,克罗地亚
五大湖,lake outflow,圣劳伦斯河
魔术,subclass of,表演艺术
五丈原,country,中华人民共和国
林纳斯·托瓦兹,religion,无神论
火药,has part,硝酸钾
莱辛,sex or gender,男性
中华民国,diplomatic relation,日本
甜菜,taxon rank,种
朝鲜,diplomatic relation,意大利
萨格勒布,country,南斯拉夫社会主义联邦共和国
南斯拉夫社会主义联邦共和国,basic form of government,议会共和制
海森堡,employer,哥廷根大学
湖北,shares border with,江西省
长白,continent,亚洲
詹姆斯·克拉克·麦克斯韦,field of work,力学
危地马拉,located in or next to body of water,加勒比海
圣马丁大区,country,秘鲁
南非,diplomatic relation,俄罗斯
皮埃蒙特,country,意大利
胡安·德拉科萨,languages spoken written or signed,西班牙语
贺州市,instance of,地级市
红宝石,color,红色
耶路撒冷,twinned administrative body,布拉格
罗马尼亚,part of,东欧
清太祖,position held,中国皇帝
德意志帝国,capital,柏林
乍得,shares border with,苏丹共和国
蒙,instance of,自治区
长城,located in the administrative territorial entity,甘肃省
西德,basic form of government,议会共和制
宋高宗,occupation,作家
碳氢化合物,has part,碳
挪威,diplomatic relation,朝鲜民主主义人民共和国
纽伦堡,twinned administrative body,斯科普里
蒙得维的亚,twinned administrative body,墨西哥城
台湾,diplomatic relation,伊拉克
士瓦本,located in the administrative territorial entity,巴伐利亚
卡尔·马克思,field of work,经济学
南京,twinned administrative body,佛罗伦萨
京,twinned administrative body,柏林
突厥,diplomatic relation,巴基斯坦
旭烈兀,position held,可汗
徐岳,field of work,哲学
欧亚大草原,country,俄罗斯
拉普拉斯,occupation,天文学家
上古汉语,instance of,语言
墨西哥,diplomatic relation,秘鲁
巴拿马,diplomatic relation,德国
刘少奇,languages spoken written or signed,汉语
普拉亚,located in the administrative territorial entity,哈瓦那省
明斯特,country,德国
日本,diplomatic relation,印度尼西亚
临沧市,country,中华人民共和国
新加坡,instance of,城市
葡萄牙,diplomatic relation,保加利亚
东南亚国家,official language,老挝语
阿拉伯撒哈拉民主共和国,instance of,国家
佛罗伦萨,country,意大利
平方根,notation,根号
保加利亚语,located in the administrative territorial entity,巴尔干半岛
东江,instance of,河流
江苏,contains administrative territorial entity,泰州市
万行,religion,佛教
蒙哥,sibling,忽必烈
本性,facet of,印度教
辟支佛,facet of,佛教
德国,diplomatic relation,挪威
清华,located in the administrative territorial entity,北京市
开封,contains administrative territorial entity,杞县
萨彦岭,continent,亚洲
汉桓帝,country of citizenship,东汉
唐德宗,time period,唐朝
京,twinned administrative body,德黑兰
北周武帝,sex or gender,男性
洱海,country,中华人民共和国
塔吉克,diplomatic relation,美国
振幅调变,opposite of,频率调制
炼金术,subclass of,神秘学
塞尔维亚,diplomatic relation,意大利
赞比亚,diplomatic relation,刚果民主共和国
亚里士多德,sex or gender,男性
四川话,instance of,方言
政治哲学,part of,政治学
芬兰语,country,俄罗斯
蒙古语族,subclass of,阿尔泰语系
意大利,member of,欧洲联盟
拉脱维亚,diplomatic relation,波兰
乌克兰语,country,俄罗斯
乌克兰语,country,匈牙利
键盘,subclass of,键盘
甲骨文,subclass of,中文
矢量图形,opposite of,位图
以色列,diplomatic relation,毛里塔尼亚
子婴,sex or gender,男性
挪威,diplomatic relation,意大利
联合国开发计划署,country,美国
古比奥,country,意大利
司马彪,sex or gender,男性
槟城,country,马来西亚
圣座,office held by head of the organisation,教宗
纯净物,subclass of,材料
宗教,different from,法
阿尔伯特·爱因斯坦,influenced by,卡尔·皮尔逊
津巴布韦,railway traffic side,左
瑞士,diplomatic relation,美国
哈得斯,sibling,赫拉
中华民国,diplomatic relation,波斯尼亚和黑塞哥维那
同治皇帝,occupation,作家
东斯拉夫语支,has part,乌克兰语
武昌起义,country,清朝
克罗地亚语,said to be the same as,塞尔维亚-克罗地亚语
阿拉伯联合酋长国,shares border with,阿曼
衢州,located in the administrative territorial entity,浙江省
南方古猿,taxon rank,属
南亚次大陆,has part,印度
象牙海岸,deepest point,几内亚湾
桑比亚半岛,instance of,半岛
仙游,instance of,县
一氧化碳,has parts of the class,氧
后周,significant event,陈桥兵变
柏柏尔人,subclass of,部落
沙地阿拉伯,diplomatic relation,新加坡
欧洲联盟,official language,保加利亚语
裂变,instance of,核反应
安达曼海,basin country,印度尼西亚
京,country,清朝
斯大林,conflict,第一次世界大战
斯图亚特王朝,country,苏格兰王国
波兰统一工人党,applies to jurisdiction,波兰
托马斯·阿奎那,employer,巴黎大学
芬兰,diplomatic relation,以色列
元大都城垣遗址公园,country,中华人民共和国
人机交互,facet of,设计
贝宁,member of,世界贸易组织
后赵,continent,亚洲
马其顿王国,basic form of government,寡头政治
意大利,diplomatic relation,保加利亚
青年岛,country,古巴
巴拿马运河,country,巴拿马
巴塞罗那,twinned administrative body,伊斯坦堡
澳,diplomatic relation,洪都拉斯
垃圾收集,subclass of,事件
缅甸,diplomatic relation,中华人民共和国
水利工程,subclass of,土木工程
黄浦江,drainage basin,长江流域
申,twinned administrative body,蒙特利尔
牙买加,instance of,主权国家
卡拉卡斯,instance of,首都
毕沅,occupation,政治人物
斯洛文尼亚,member of,北大西洋公约组织
知识论,subclass of,哲学
东莞,instance of,不设区的市
元,capital,元大都
甘油,found in taxon,智人
立法,participant,议会
大日本帝国海军,conflict,日俄战争
Ca,language used,英语
有机合成,language of work or name,英语
马恩河,instance of,河流
利比亚,instance of,国家
西斯拉夫语支,instance of,语系
挪威,member of,北大西洋公约组织
赞比亚,member of,非洲联盟
索马里语,instance of,语言
荷兰语,country,德国
科特布斯,located in the administrative territorial entity,勃兰登堡
H2,found in taxon,智人
放线菌素,has part,碳
库克船长,member of,皇家学会
自然哲学的数学原理,language of work or name,拉丁语
美利坚合众国,diplomatic relation,印度尼西亚
太原,instance of,地级市
美国宪法,country,美国
电气工程,instance of,学科
海因里希·希姆莱,conflict,第二次世界大战
长三角,country,中华人民共和国
元大都,instance of,首都
努纳武特,continent,北美洲
法蒂玛王朝,replaced by,赞吉王朝
联合国教科文组织,instance of,国际组织
列支敦斯登,diplomatic relation,欧洲联盟
坎加鲁岛,located in the administrative territorial entity,南澳大利亚州
中华人民共和国国家旅游局,headquarters location,北京市
福清,located in the administrative territorial entity,福州市
斯洛文尼亚语,country,美国
海德格尔,influenced by,伊曼努尔·康德
乌兹别克苏维埃社会主义共和国,located in the administrative territorial entity,苏联
克罗地亚,diplomatic relation,利比亚
湖南,capital,长沙市
突厥语,linguistic typology,主宾谓结构
毕达哥拉斯,occupation,哲学家
领土,different from,国土
广东,contains administrative territorial entity,珠海市
唐高祖,child,唐太宗
娱乐,subclass of,服务
陈独秀,movement,新文化运动
俄国,contains administrative territorial entity,库尔斯克州
布鲁塞尔,instance of,大城市
安邑,country,中华人民共和国
匈牙利,member of,经济互助委员会
塞尔维亚,shares border with,保加利亚
角量子数,subclass of,量子数
勒皮雄,occupation,教授
美利坚合众国,diplomatic relation,利比亚
阿瑟·麦克唐纳,occupation,物理学家
唐宁街10号,country,英国
陈述,subclass of,命题
塞瓦斯托波尔,located in the administrative territorial entity,乌克兰
傅大士,occupation,发明家
德国,diplomatic relation,巴基斯坦
简鼻亚目,taxon rank,亚目
维多利亚瀑布,heritage designation,世界遗产
列女传,language of work or name,文言文
黑云母,streak color,白色
方苞,occupation,作家
斯堪的纳维亚,country,丹麦
南非,member of,英联邦
加勒比海,basin country,哥伦比亚
淀粉,subclass of,多糖
大数定律,facet of,概率论
小桥,located in the administrative territorial entity,巴黎
腓力二世,country of citizenship,西班牙
波斯尼亚和黑塞哥维那,diplomatic relation,西班牙
杜塞尔多夫,twinned administrative body,塞维利亚
贵港,country,中华人民共和国
巴布亚新几内亚,member of,英联邦
明格列尔语,instance of,语言
欧洲,has part,东欧
沙俄,official language,芬兰语
达尔文,languages spoken written or signed,英语
李政道,country of citizenship,美国
高雄市,instance of,城市
田齐桓公,father,田和
英宗,place of death,北京市
美利坚合众国,diplomatic relation,丹麦
圣彼得堡,country,俄罗斯帝国
九一八事变,location,中国东北地区
上海派遣军,country,大日本帝国
香花镇,country,中华人民共和国
自治地方,part of,国家
耶路撒冷,twinned administrative body,非斯
杜甫,ancestral home,襄阳市
澳门,instance of,城邦
佛得角,member of,联合国贸易和发展会议
语素,different from,字位
危地马拉,shares border with,伯利兹
法兰西共和国,shares border with,摩纳哥
瓦努阿图,diplomatic relation,格鲁吉亚
德里,official language,乌尔都语
亚历山大·冯·洪堡,given name,亚历山大
九龙江,instance of,河流
洛仑兹,member of,瑞典皇家科学院
卡拉奇,twinned administrative body,伊斯坦堡
上海,twinned administrative body,布达佩斯
帕斯卡,based on,米
教育,subclass of,服务
彭河,country,中华人民共和国
台湾省,office held by head of government,省长
布哈拉,instance of,城市
星云,part of,星系
波河,instance of,河流
弗里德里希·恩格斯,religion,无神论
乌孜别克族,country,巴基斯坦
吉布提,member of,联合国
伊拉克,diplomatic relation,欧洲联盟
卡夫卡,languages spoken written or signed,土耳其语
喀拉拉邦,located in the administrative territorial entity,印度
柴门霍夫,nominated for,诺贝尔和平奖
北部非洲,has part,摩洛哥
江东,located in the administrative territorial entity,宁波市
重庆,shares border with,四川省
赣州,located in the administrative territorial entity,江西省
巴塞罗那,twinned administrative body,波士顿
约瑟夫·斯大林,nominated for,诺贝尔和平奖
古巴,diplomatic relation,格鲁吉亚
沉积岩,subclass of,岩石
角色,subclass of,角色
巴西利亚,twinned administrative body,布鲁塞尔
夏尔·戴高乐,sex or gender,男性
阿富汗,member of,联合国
核糖,has part,碳
卢沟桥事变,instance of,战役
蒙古人,instance of,歌曲
丹麦,continent,欧洲
春秋时期,part of,春秋战国
江苏,shares border with,安徽省
日本,diplomatic relation,蒙古国
双糖,has part,糖苷键
尼泊尔,ethnic group,穆斯林
欧洲联盟,diplomatic relation,马来西亚
唐高宗,place of birth,西安市
阿勒曼尼语,writing system,拉丁文字
政体,different from,政治制度
马其顿共和国,replaces,南斯拉夫社会主义联邦共和国
格鲁吉亚,diplomatic relation,阿塞拜疆
氨水,instance of,化合物
海德格尔,country of citizenship,西德
有氧运动,different from,无氧运动
孔子鸟,taxon rank,属
遮娄其人,instance of,朝代
毒素,language of work or name,英语
长春,capital of,满洲国
CH,diplomatic relation,摩尔多瓦
因果关系,part of,逻辑学
汉高祖,country of citizenship,中国
罗安达,capital of,安哥拉
汪精卫政府,capital,南京市
吉隆坡,twinned administrative body,卡拉奇
沃尔夫冈·泡利,employer,哥廷根大学
奥斯曼,place of death,麦地那
山阳县,instance of,县
稷,follows,商朝
唐,continent,亚洲
发明,subclass of,事件
意大利王国,capital,罗马
齐齐哈尔,twinned administrative body,佛山市
内蒙,contains administrative territorial entity,兴安盟
代郡,instance of,郡
朱棣文,place of birth,圣路易斯
马德里,twinned administrative body,里斯本
Ca,diplomatic relation,乌克兰
民国,diplomatic relation,新西兰
汶莱,diplomatic relation,新加坡
台湾省,contains administrative territorial entity,高雄市
数学分析,based on,微积分学
工部,subclass of,部
邹衍,occupation,作家
中华人民共和国,diplomatic relation,乍得
杜氏,instance of,汉姓
波耳,instance of,族群
芬兰,diplomatic relation,法国
姪,has quality,男性
丹麦,diplomatic relation,爱尔兰共和国
武关,country,中华人民共和国
德黑兰省,country,伊朗
浙江,shares border with,上海市
墨西哥,official language,西班牙语
斯图加特,twinned administrative body,圣路易斯
永安市,located in the administrative territorial entity,三明市
菲律宾,diplomatic relation,波兰
光学,part of,物理学
沙那,twinned administrative body,德黑兰
赫拉,sibling,哈得斯
数学,has part,集合论
逻辑,has part,归纳推理
公式,facet of,逻辑学
千岛群岛,territory claimed by,日本
欧洲联盟,shares border with,塞尔维亚
阿瓦尔人,instance of,族群
南非,official language,祖鲁语
网景通讯公司,headquarters location,山景城
Novell,country,美国
汉宣帝,place of death,西安市
太清,instance of,年号
E·T·A·霍夫曼,ethnic group,德意志人
日本,diplomatic relation,巴拉圭
广德县,located in the administrative territorial entity,宣城市
革命社会主义者,instance of,政党
嘧啶,has part,碳
曼尼普尔邦,located in the administrative territorial entity,印度
巴林,country,巴林
Na,diplomatic relation,古巴
微分,part of,数学分析
自由邦省,capital,布隆方丹
曼谷,twinned administrative body,安卡拉
徐铉,country of citizenship,宋朝
宙斯,sibling,赫拉
富兰克林·德拉诺·罗斯福,conflict,第一次世界大战
东京,capital of,日本
赵匡胤,sex or gender,男性
佛罗里达州立大学,located in the administrative territorial entity,塔拉哈西
赫尔曼·闵可夫斯基,student,阿尔伯特·爱因斯坦
电源,instance of,企业
亚历山大里亚,field of work,几何学
太湖片,located in the administrative territorial entity,浙江省
新西兰,diplomatic relation,法国
希腊,diplomatic relation,巴基斯坦
裸子植物,subclass of,有胚植物
夜行登霄,instance of,事件
爱因斯坦,nominated for,诺贝尔物理学奖
宗教学,studies,宗教
荷属圣马丁,continent,北美洲
魔法门,designed by,乔·万·坎赫姆
拉里·佩奇,sex or gender,男性
利比亚,shares border with,埃及
柬埔寨,located on terrain feature,东南亚
背风安的列斯群岛,part of,小安的列斯群岛
印欧语,has part,日耳曼语族
汪精卫政府,shares border with,大日本帝国
旧金山半岛,located in the administrative territorial entity,加利福尼亚州
胡夏,country of citizenship,中华人民共和国
搜集,different from,社会阶级
亨利·贝克勒,occupation,工程师
科克郡,located in the administrative territorial entity,芒斯特省
OM,diplomatic relation,孟加拉国
闪,sex or gender,男性
云计算,instance of,资源
精神病,health specialty,心理学
普什图语,linguistic typology,主宾谓结构
世界银行,instance of,国际组织
班超,country of citizenship,东汉
大清,contains administrative territorial entity,福建省
西班牙,diplomatic relation,乌拉圭
索马里语,writing system,拉丁文字
玛丽·利基,field of work,人类学
大加图,country of citizenship,古罗马
匈牙利,diplomatic relation,大韩民国
孟-高棉语族,subclass of,南亚语系
格陵兰,located in the administrative territorial entity,丹麦王国
车臣语,writing system,西里尔字母
亚琛,instance of,大城市
唐高宗,position held,皇帝
济水,mouth of the watercourse,黄河
苏里南,language used,英语
临潼,country,中华人民共和国
金钱,country,中华人民共和国
法兰西岛,twinned administrative body,华沙
阿尔伯特·爱因斯坦,sex or gender,男性
中国共产党中央军事委员会主席,officeholder,毛泽东
蜀,contains administrative territorial entity,眉山市
阿尔及利亚,part of,北部非洲
20世纪,instance of,世纪
丹麦,diplomatic relation,菲律宾
莫泊桑,languages spoken written or signed,法语
蜀,shares border with,西藏自治区
辅因子,subclass of,化合物
喀尔巴阡山脉,country,乌克兰
科林·麦克劳林,languages spoken written or signed,英语
不列颠,member of,欧洲联盟
纣王,noble title,王
纽西兰,diplomatic relation,西班牙
李政道,country of citizenship,中国
费曼,religion,无神论
刘德华,residence,安徽省
瑞亚,instance of,女神
欧洲联盟,official language,波兰语
流星,subclass of,光
巴统,located in or next to body of water,黑海
IE,member of,世界贸易组织
南宋,contains administrative territorial entity,福建路
加勒比海盗4,country of origin,美国
西门子公司,location of formation,柏林
日本天皇,country,日本
罗马尼亚人民共和国,basic form of government,一党制
九州,continent,亚洲
玻色-爱因斯坦统计,named after,阿尔伯特·爱因斯坦
中央集权,opposite of,地方分权
郭威,place of burial,新郑市
玄宗,place of death,西安市
耆那教,located on terrain feature,古吉拉特邦
中古希腊语,instance of,语言
奥匈帝国,shares border with,奥斯曼帝国
仙女座星系,child astronomical body,三角座星系
里斯本条约,named after,里斯本
俄国,diplomatic relation,哥斯达黎加
印尼,member of,世界贸易组织
达利语,linguistic typology,主宾谓结构
Ca,diplomatic relation,印度尼西亚
中华人民共和国,diplomatic relation,厄瓜多尔
嘉定县,country,中华人民共和国
卡尔·马克思,religion,无神论
杭州湾,country,中华人民共和国
豪登省,located in the administrative territorial entity,南非
罗马尼亚,diplomatic relation,西班牙
埃斯波,located in the administrative territorial entity,新地区
李小双,place of birth,仙桃市
基本粒子,interaction,引力
圣彼得堡,twinned administrative body,曼谷
甘肃,located in the administrative territorial entity,中华人民共和国
逻辑代数,subclass of,代数
布拉格,twinned administrative body,京都市
尼加拉瓜,shares border with,哥斯达黎加
马克思,field of work,哲学
詹姆斯·瓦特,field of work,机械工程
自然界,instance of,图书
朗格勒,country,法国
水螅,instance of,模式生物
南欧,has part,直布罗陀
洛美,instance of,城市
液,instance of,汉字
塞尔维亚,diplomatic relation,巴基斯坦
圆盘,has quality,周长
工程学,studies,物理学
周灵王,sex or gender,男性
定西市,contains administrative territorial entity,渭源县
突尼斯市,twinned administrative body,布拉格
皇家殖民地,country,英国
芝加哥,country,美国
机械工程,subclass of,工程学
波坦察,country,意大利
托马斯·阿奎那,sex or gender,男性
黑海,country,乌克兰
周人,has part,东周
梁武帝,occupation,哲学家
日本天皇,officeholder,明仁
十字寺,instance of,佛寺
分子量,subclass of,比率
格拉斯哥大学,country,英国
1901年,part of,西元
元年,original language of work,英语
临济宗,instance of,宗教
黄埔军校,instance of,军校
汪精卫政府,basic form of government,共和制
性别,said to be the same as,性
朔州市,country,中华人民共和国
芬兰,diplomatic relation,丹麦
程颐,languages spoken written or signed,汉语
哈菲兹·阿萨德,member of political party,叙利亚复兴党
法属圭亚那,located in the administrative territorial entity,法国
民国,diplomatic relation,喀麦隆
长城,located in the administrative territorial entity,四川省
克里米亚自治共和国,instance of,自治共和国
永泰县,located in the administrative territorial entity,福州市
启母阙,heritage designation,全国重点文物保护单位
群岛,subclass of,地形
太平洋战争,location,南亚
摩尔多瓦,diplomatic relation,瑞士
梵蒂冈,shares border with,欧洲联盟
安康,instance of,地级市
晋江,country,中华人民共和国
神武天皇,occupation,君主
恩斯特·海克尔,occupation,生物学家
丽江古城,country,中华人民共和国
夏恽,country of citizenship,中国
巴拿马,shares border with,哥斯达黎加
德黑兰,instance of,大都市
新京,instance of,城市
卡尔·马克思,residence,柏林
威廉斯塔德,located in the administrative territorial entity,库拉索
史学,studies,历史
尼亚美,instance of,城市
社会,instance of,概念
婆罗洲,located in or next to body of water,太平洋
铵根离子,has part,氨
孝,language of work or name,日语
Na,continent,非洲
气体,less than,液体
周公,father,周文王
民国,contains administrative territorial entity,新北市
航天,subclass of,运输
古巴,diplomatic relation,伊拉克
大清,official language,蒙古语
有神论,subclass of,宗教
德黑兰,country,伊朗
尼日尔,member of,非洲联盟
特伦蒂诺-上阿迪杰,shares border with,伦巴第
信徒,subclass of,信仰
海地,diplomatic relation,美国
升华,uses,固体
西班牙,located in or next to body of water,大西洋
阿拉伯国家,shares border with,以色列
受洗,instance of,事件
意大利,instance of,国家
辽代,subclass of,佛教
孟子,sex or gender,男性
精子,subclass of,配子
现代汉语通用字表,writing system,传承字
长安,capital of,汉朝
量子力学,creator,阿尔伯特·爱因斯坦
罗伯特·欧文,occupation,政治人物
中华民国,diplomatic relation,刚果共和国
图形,field of work,平面设计
中文,writing system,简化字
三宝垄,country,印度尼西亚
夫姓,subclass of,姓氏
字型,part of,字体
蜗牛,different from,腹足纲
英属,official language,英语
新喀里多尼亚,country,法国
复兴门北大街,instance of,街道
纳米比亚,instance of,国家
长江,tributary,赣江
二里头遗址,located in the administrative territorial entity,翟镇
粤,shares border with,福建省
塞尔维亚语,linguistic typology,主谓宾结构
万里长城,located in the administrative territorial entity,河北省
孟加拉,diplomatic relation,缅甸
德国,diplomatic relation,西班牙
美利坚合众国,contains administrative territorial entity,夏威夷州
安卡拉,twinned administrative body,普里什蒂纳
西游记,characters,女娲
白虎,fictional analog of,虎
亚里士多德,culture,古希腊
程颢,sex or gender,男性
马克斯·韦伯,occupation,政治人物
突尼斯,diplomatic relation,欧洲联盟
澳大利亚首都领地,public holiday,元旦
巴布亚省,country,印度尼西亚
肺部,symptoms,疲倦
阿里斯托芬,place of birth,雅典
加勒比海,part of,大西洋
印度斯坦语,located in the administrative territorial entity,南亚
天体力学,subclass of,力学
滇池,basin country,中华人民共和国
山东,shares border with,安徽省
秘鲁,diplomatic relation,希腊
赵忠,member of,十常侍
吴健雄,occupation,物理学家
地球物理学,subclass of,物理学
可口可乐公司,product or material produced,可口可乐
大不列颠及北爱尔兰联合王国,member of,世界贸易组织
阿尔及利亚,diplomatic relation,土耳其
北冰洋,has part,波弗特海
洲,subclass of,地理位置
乍得,continent,非洲
开本,facet of,印刷
保加利亚,diplomatic relation,德国
民国,diplomatic relation,波斯尼亚和黑塞哥维那
景德镇市,located in the administrative territorial entity,江西省
约旦河,continent,亚洲
柬埔寨,diplomatic relation,欧洲联盟
乙醛,subclass of,醛
乌克兰,diplomatic relation,大韩民国
白衣渡江,part of,三国
粤,contains administrative territorial entity,江门市
阿尔卑斯山,country,摩纳哥
弱电解质,subclass of,化学物质
方程,subclass of,数学公式
亨利·卡文迪许,sex or gender,男性
水浒传,language of work or name,汉语
古生代,part of,显生宙
战争,subclass of,武装冲突
砷化镓,instance of,半导体
阿尔伯特·爱因斯坦,influenced by,亨德里克·洛伦兹
后结构主义,instance of,理论
临汾,located in the administrative territorial entity,山西省
唐太宗,sibling,李建成
Ca,diplomatic relation,波兰
氧化还原,has part,还原
伯利兹,continent,北美洲
帕加马,heritage designation,世界遗产
哥伦比亚,diplomatic relation,日本
台湾,diplomatic relation,冰岛
托雷斯海峡,instance of,海峡
约翰·施里弗,occupation,物理学家
明太祖,location,满洲
非欧几何,named after,欧几里得
项羽,place of death,和县
债券,subclass of,借贷
格鲁吉亚,diplomatic relation,卢森堡
周文王,occupation,君主
科威特,member of,世界贸易组织
西伯利亚,part of,北亚
第三产业,follows,第二产业
考古,practiced by,考古学家
印度人口,subclass of,人口学
约瑟夫·戈培尔,occupation,政治人物
永济,instance of,县级市
宣和,country of citizenship,清朝
周成王,country of citizenship,西周
嵩岳寺塔,located in the administrative territorial entity,登封市
中国大陆人口,subclass of,人口学
游轮,subclass of,客轮
科索沃,diplomatic relation,阿尔巴尼亚
长江上游,country,中华人民共和国
冰岛,diplomatic relation,中华人民共和国
庐卡雅群岛,located in or next to body of water,大西洋
杀戮,country of origin,法国
西班牙,diplomatic relation,孟加拉国
中华人民共和国中央军事委员会主席,country,中华人民共和国
中华民国,diplomatic relation,尼日尔
朝鲜,diplomatic relation,沙特阿拉伯
叶,instance of,姓氏
发达国家,subclass of,国家
蜘蛛猴,taxon rank,属
珠海市,instance of,地级市
有机,studied by,有机化学
采样定理,instance of,定理
地杨梅属,parent taxon,灯心草科
江泽民,educated at,上海交通大学
绝对君主制,subclass of,君主制
埃及,diplomatic relation,叙利亚
圣座,diplomatic relation,黎巴嫩
加沙,instance of,大城市
乐器,subclass of,作品
塞浦路斯,basic form of government,共和制
朝鲜王朝,location,朝鲜半岛
郑樵,occupation,天文学家
维滕贝格,country,德国
太康,sex or gender,男性
亚松森,instance of,城市
两院制,opposite of,一院制
亨德里克·洛伦兹,field of work,理论物理学
真善美,main subject,阿尔卑斯山
中国科学院,headquarters location,北京市
容量,subclass of,物理量
清高宗,occupation,君主
罗安达,instance of,城市
土耳其,diplomatic relation,澳大利亚
芝诺,religion,基督教
博茨瓦纳,member of,世界贸易组织
翁布里亚,shares border with,拉齐奥
拉贾斯坦邦,shares border with,中央邦
詹姆斯·查德威克,educated at,剑桥大学
波罗的海德国人,country,爱沙尼亚
永福省,country,越南
圣多明哥,twinned administrative body,拉巴特
JavaScript,based on,ECMAScript
信德省,located in the administrative territorial entity,巴基斯坦
西欧,has part,卢森堡
Cl,member of,南美洲国家联盟
情感,subclass of,情绪
谷歌,owned by,埃里克·施密特
邓小平,occupation,政治人物
刘禹锡,sex or gender,男性
曹魏,time period,三国
泰国湾,located on terrain feature,东南亚
荀卿,sex or gender,男性
销售,has part,分销
大卫·休谟,occupation,哲学家
沛县,located in the administrative territorial entity,徐州市
塞尔维亚,diplomatic relation,孟加拉国
松花江,tributary,牡丹江
塞拉利昂,country,塞拉利昂
喜剧,subclass of,艺术家
澳,language used,马其顿语
蒂姆·伯纳斯-李,occupation,程序员
瑞亚,mother,盖亚
姜姓,instance of,姓氏
莎士比亚,languages spoken written or signed,英语
英国首相,country,英国
电视台,subclass of,企业
表面积,instance of,物理量
时辰,part of,干支
纳米比亚,shares border with,赞比亚
水土流失,subclass of,侵蚀作用
企业资源规划,part of,计算机科学
医生,different from,物理学家
端基异构体,subclass of,化合物
莫三比克,diplomatic relation,芬兰
意大利,shares border with,法国
中华人民共和国国家统计局,parent organization,中华人民共和国国务院
重庆,twinned administrative body,布里斯班
塞尔维亚语,uses capitalization for,神
欧洲联盟,continent,北美洲
甘露糖,has part,氧
荞麦,taxon rank,种
夏县,contains administrative territorial entity,瑶峰镇
鹘鹰,parent taxon,隼
联合王国,diplomatic relation,利比亚
埃塞俄比亚,diplomatic relation,埃及
马其顿共和国,diplomatic relation,丹麦
数列,subclass of,序列
巴西,part of,拉丁美洲
阿塞拜疆语,country,伊朗
康托尔,occupation,数学家
索马里半岛,located in or next to body of water,红海
华沙,twinned administrative body,法兰西岛
中华人民共和国,contains administrative territorial entity,黑龙江省
希腊,diplomatic relation,吉尔吉斯斯坦
强子,has parts of the class,反夸克
黄河,located in the administrative territorial entity,宁夏回族自治区
巴什基尔语,instance of,语言
西岸,territory claimed by,巴勒斯坦
间接选举,opposite of,直接选举
民国,diplomatic relation,密克罗尼西亚联邦
德国,replaces,西德
氯乙酸,has part,氧
雅威,worshipped by,犹太教
萨格勒布县,capital,萨格勒布
加速器,subclass of,装置
压缩机,subclass of,泵
尼古拉·特斯拉,languages spoken written or signed,捷克语
西藏自治区,contains administrative territorial entity,拉萨市
行星科学,subclass of,空间科学
螺旋星系,subclass of,星系
砂拉越,country,马来西亚
格拉斯哥,twinned administrative body,都灵
希腊,continent,欧洲
太康县,named after,太康
世宗,occupation,政治人物
联合王国,basic form of government,君主立宪制
卢梭,religion,基督教
西班牙帝国,continent,非洲
屋大维,time period,罗马共和国
科尔沁部,subclass of,蒙古族
吴州,instance of,郡
津巴布韦,official language,科萨语
波旁王朝,part of,卡佩王朝
菲律宾,named after,腓力二世
坦桑尼亚,diplomatic relation,俄罗斯
中国人民政治协商会议共同纲领,legislated by,中国人民政治协商会议第一届全体会议
申,twinned administrative body,伊斯坦堡
动脉硬化,instance of,疾病
马六甲,capital,马六甲市
芝加哥,twinned administrative body,汉堡
长沙,instance of,地级市
苏伊士运河,terminus,地中海
江淮,named after,长江
湖南,shares border with,贵州省
罗马尼亚共产党,political ideology,马克思列宁主义
酒泉,located in the administrative territorial entity,甘肃省
葡萄牙,capital,里斯本
河东,instance of,区
芬兰,shares border with,苏联
美利坚合众国,diplomatic relation,日本
冰岛,diplomatic relation,捷克
和平省,country,越南
多明尼加共和国,diplomatic relation,格鲁吉亚
中华民国陆军,instance of,陆军
保罗·埃尔德什,religion,无神论
杭州,twinned administrative body,波士顿
俄罗斯人,country,希腊
非语言交际,subclass of,通信
申,contains administrative territorial entity,杨浦区
赫尔辛基,country,俄罗斯帝国
叶县,located in the administrative territorial entity,平顶山市
